START 2026-07-21T09:00:36.5647355+02:00  total=90  outRoot=D:\APBReloaded\Content\Extracted\Weapons
[1/90] Weapon_Armas_AgroSniper.upk  files=54
[2/90] Weapon_Armas_LightMachineGun_762.upk  files=35
[3/90] Weapon_Armas_Magnum.upk  files=11
[4/90] Weapon_Armas_Shotgun.upk  files=372
[5/90] Weapon_Armas_SniperRifle_50Cal.upk  files=364
[6/90] Weapon_Armas_SubMachineGun_Pitbull.upk  files=11
[7/90] Weapon_AssaultRifle_Apocalypse.upk  files=379
[8/90] Weapon_AssaultRifle_ATac.upk  files=525
[9/90] Weapon_AssaultRifle_COBR-A.upk  files=362
[10/90] Weapon_AssaultRifle_CR5.upk  files=380
[11/90] Weapon_AssaultRifle_Fanatic.upk  files=366
[12/90] Weapon_AssaultRifle_FAR.upk  files=358
[13/90] Weapon_AssaultRifle_NTEC-7.upk  files=363
[14/90] Weapon_AssaultRifle_Raptor.upk  files=365
[15/90] Weapon_AssaultRifle_VAS.upk  files=8
[16/90] Weapon_AssaultRifle.upk  files=441
[17/90] Weapon_AutomaticShotgun.upk  files=498
[18/90] Weapon_BaseAssaultRifle.upk  files=363
[19/90] Weapon_BurstFirePistol.upk  files=369
[20/90] Weapon_BurstFireRifle.upk  files=364
[21/90] Weapon_CAP40.upk  files=355
[22/90] Weapon_Carbine.upk  files=334
[23/90] Weapon_Colby_Commander.upk  files=369
[24/90] Weapon_ColbyClassic.upk  files=362
[25/90] Weapon_ConcussionGrenade.upk  files=8
[26/90] Weapon_CrowdControlGun.upk  files=374
[27/90] Weapon_DartGun.upk  files=351
[28/90] Weapon_EightBall.upk  files=10
[29/90] Weapon_EMPGrenade.upk  files=11
[30/90] Weapon_Explosive_AAEPD.upk  files=31
[31/90] Weapon_Explosive_AAPED.upk  files=31
[32/90] Weapon_Explosive_EOL.upk  files=30
[33/90] Weapon_FlareGun.upk  files=377
[34/90] Weapon_FragmentationGrenade.upk  files=8
[35/90] Weapon_GrenadeLauncher.upk  files=379
[36/90] Weapon_HouseBrick.upk  files=11
[37/90] Weapon_Katana.upk  files=9
[38/90] Weapon_LightMachineGun_556.upk  files=362
[39/90] Weapon_LightMachineGun_762.upk  files=368
[40/90] Weapon_LightMachineGun_SSW.upk  files=361
[41/90] Weapon_LMG_AMG.upk  files=375
[42/90] Weapon_LMG_CAS.upk  files=362
[43/90] Weapon_LMG_Swarm.upk  files=364
[44/90] Weapon_MachinePistol_PDW.upk  files=358
[45/90] Weapon_MachinePistol.upk  files=368
[46/90] Weapon_Magnum_Revolver.upk  files=364
[47/90] Weapon_Magnum.upk  files=487
[48/90] Weapon_MobilePhone.upk  files=2
[49/90] Weapon_ObeyaBattleRifle.upk  files=361
[50/90] Weapon_PDW57.upk  files=381
[51/90] Weapon_PercussionGrenade.upk  files=8
[52/90] Weapon_Retail_Magnum.upk  files=11
[53/90] Weapon_Revolver_Apocalypse.upk  files=221
[54/90] Weapon_Revolver_Showstopper.upk  files=378
[55/90] Weapon_Rifle_FFA.upk  files=368
[56/90] Weapon_Rifle_PBR.upk  files=365
[57/90] Weapon_Rifle_SACR.upk  files=374
[58/90] Weapon_Rifle.upk  files=357
[59/90] Weapon_RiotGun.upk  files=361
[60/90] Weapon_RocketLauncher.upk  files=364
[61/90] Weapon_SawnOffShotgun.upk  files=9
[62/90] Weapon_Secondary_Fr0g.upk  files=376
[63/90] Weapon_Secondary_Mountie.upk  files=376
[64/90] Weapon_Secondary_OCSP.upk  files=87
[65/90] Weapon_Secondary_OUL.upk  files=376
[66/90] Weapon_SemiAutoPistol.upk  files=367
[67/90] Weapon_Shotgun_DOW.upk  files=366
[68/90] Weapon_Shotgun_Shredder.upk  files=364
[69/90] Weapon_Shotgun_Tas20.upk  files=379
[70/90] Weapon_Shotgun.upk  files=370
[71/90] Weapon_SMG_ACES.upk  files=387
[72/90] Weapon_SMG_C9S.upk  files=366
[73/90] Weapon_SMG_CBMP.upk  files=370
[74/90] Weapon_SMG_Norsemen.upk  files=375
[75/90] Weapon_SMG_Vector.upk  files=22
[76/90] Weapon_SniperRifle_50Cal.upk  files=358
[77/90] Weapon_SniperRifle_HVR762.upk  files=402
[78/90] Weapon_SniperRifle_Pathfinder.upk  files=359
[79/90] Weapon_SniperRifle_PSR.upk  files=366
[80/90] Weapon_SniperRifle_SBSR.upk  files=370
[81/90] Weapon_SniperRifle_Vesper.upk  files=385
[82/90] Weapon_SnowBall.upk  files=14
[83/90] Weapon_SnubNoseRevolver.upk  files=350
[84/90] Weapon_StarterSMG.upk  files=366
[85/90] Weapon_StingerGrenade.upk  files=8
[86/90] Weapon_StunGun.upk  files=351
[87/90] Weapon_SubMachineGun.upk  files=378
[88/90] Weapon_TacticalAssaultRifle.upk  files=364
[89/90] Weapon_TommyGun.upk  files=373
[90/90] Weapon_Vas.upk  files=381
DONE 2026-07-21T09:01:10.3805640+02:00  ok=90  empty/fail=0  total=90
